"id","bspl","detailname","resultname"
2610,BS,기타자본의구성요소,기타자본
2611,BS,장기성기타채무,기타부채
2612,BS,판매보증충당금,충당부채
2613,BS,판매보증충당금,충당부채
2614,BS,유동기타금융자산,금융자산
2615,BS,유동신주인수권부사채,금융부채
2616,PL,판매관리비기타,기타판관비
2617,PL,기타비용기타,영업외손익
2618,PL,금융이익유효이자율로인식하는이자수익,금융손익
2619,BS,FOC금융자산,금융자산
2620,BS,FP금융자산,금융자산
2621,PL,FOC금융자산평가손익,위치파악2
2622,BS,유동성상환전환우선주부채,금융부채
2623,BS,관계기업과공동기업투자,투자주식
2624,BS,단기매입채무및기타채무,금융부채
2625,PL,관계기업과공동기업투자손익,영업외손익
2626,PL,지분증권평가이익,위치파악2
2627,BS,통화옵션부채,금융부채
2628,PL,계속사업주당순이익,제거
2629,PL,중단사업주당순이익,제거
2630,PL,종속회사및관계회사손익,영업외손익
2631,BS,기타포괄손익공정가치측정지분증권평가이익,기타자본
2632,BS,기타포괄손익공정가치측정지분증권처분손실,기타자본
2633,PL,법인세비용차감전이익순이익,세전이익
2634,BS,지분법적용투자지분,투자주식
2635,PL,관계기업의당기순손익에대한지분감소,영업외손익
2636,PL,지분법적용투자자산처분손실,영업외손익
2637,cf,중단영업의순투자활동현금흐름,투자활동현금흐름
2638,BS,종속기업및관계회사투자주식,투자주식
2639,BS,유동성기타포괄손익공정가치측정금융자산,금융자산
2640,BS,유동성장기예수보증금,위치파악3
2641,BS,유동성반환부채,충당부채
2642,BS,반환부채,충당부채
2643,PL,당기손익공정가치측정금융상품관련손익,금융손익
2644,PL,신용손실에대한손상차손환입,영업외손익
2645,BS,여신금융자산,금융자산
2646,PL,기타포괄공정가치측정지분상품평가손익,위치파악2
2647,PL,종속기업및관계기업투자처분이익,영업외손익
2648,PL,종속기업및관계기업투자손상차손환입,영업외손익
2649,PL,판매비와관리비대손상각비,위치파악1
2650,PL,금융비용기타,금융손익
2651,PL,금융비용기타의대손상각비,위치파악1
2652,BS,어음관리계좌자산,금융부채
2653,PL,유효이자율법으로인식하는이자수익,금융손익
2654,PL,기타이자수익,금융손익
2655,PL,신용손실에대한손상차손전입,영업외손익
2656,BS,매출채권및기타채권_유동,금융자산
2657,BS,매출채권및기타채권_비유동,금융자산
2658,BS,매입채무및기타채무_유동,금융부채
2659,BS,전환우선주금융부채,금융부채
2660,BS,하자보수충당부채_유동,충당부채
2661,BS,하자보수충당부채_비유동,충당부채
2662,BS,매입채무및기타채무_비유동,금융부채
2663,PL,종속기업관계기업투자지분관련손익,영업외손익
2664,PL,법인세수익비용,법인세비용
2665,BS,유동품질보증충당부채,충당부채
2666,PL,종속기업과관계기업및공동기업에대한투자손실,영업외손익
2667,PL,종속기업투자주식에대한손익,영업외손익
